Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,final 3rd,PPA,CrsPA,Prog,Matches
1,Sandy MacIver,eng ENG,GK,Everton,21,1998,3,27.3,38.7,70.7,669,262,0,0,,18,18,100,28,62,45.2,0,0,0,0,0.33,0,0,0,Matches
2,Vencislav Vasilev,eng ENG,GK,Tottenham,31,1988,1.6,20,33.1,60.4,476.9,185,0,0,,14.4,14.4,100,9,30,30,0,0,0,0,0,0,0,0,Matches
3,Angela Addison,eng ENG,"FW,MF",Tottenham,19,1999,2.2,11.8,21.8,54.2,180.9,64.5,0.91,3.64,25,9.55,14.1,67.7,3,9,33.3,0.45,0.14,0.32,1.36,0,0,0,0,Matches
4,Flo Allen,eng ENG,"DF,MF",Bristol City,19,1999,3,20.7,29.3,70.5,324.3,190.7,0,1,0,17.7,22.3,79.1,9,18,50,0,0,0,0,2,0,0,4.67,Matches
5,Remi Allen,eng ENG,MF,Reading,28,1990,12,26.5,36.7,72.3,445.8,143.3,0.92,2.17,42.3,20.9,26.6,78.7,56,95,58.9,0.25,0.08,0.17,0.92,2.92,1.08,0,5.17,Matches
6,Jonna Andersson,se SWE,DF,Chelsea,26,1993,14.1,47.7,62.4,76.4,834.8,349.6,0.5,2.62,18.9,38.7,45,86.1,119,209,56.9,0.35,0.2,0.16,0.99,4.11,1.63,0.71,8.79,Matches
7,Lizzie Arnot,sco SCO,FW,Manchester Utd,23,1996,0.9,23.3,35.6,65.6,383.3,156.7,0,1.11,0,20,27.8,72,3,6,50,0,0.11,-0.11,2.22,0,2.22,1.11,4.44,Matches
8,Chloe Arthur,sco SCO,MF,Birmingham City,24,1995,11.9,31.7,40.9,77.4,618.4,191.4,0,1.76,0,24.1,28.2,85.4,90,130,69.2,0,0.02,-0.02,0.67,3.78,0.34,0,4.29,Matches
9,Rosella Ayane,eng ENG,"FW,MF",Tottenham,23,1996,6.4,13.6,21.6,63,218.8,51.9,0.47,1.25,37.5,11.1,15.2,73.2,13,33,39.4,0.16,0.03,0.13,0.94,0.47,1.09,0.94,2.03,Matches
10,Rinsola Babajide,eng ENG,"FW,MF",Liverpool,,,8.2,11.5,21.2,54,168.8,42.7,0.37,2.32,15.8,9.63,14.1,68.1,12,39,30.8,0,0.01,-0.01,0.24,0.85,0.85,0.73,1.22,Matches
11,Ramona Bachmann,ch SUI,"FW,MF",Chelsea,28,1990,6.3,27,37.1,72.6,386.3,109.5,0.79,2.38,33.3,23.3,29.2,79.9,18,35,51.4,0.32,0.16,0.16,2.06,2.7,0.79,0.32,3.65,Matches
12,Sophie Baggaley,eng ENG,GK,Bristol City,22,1996,14,29.1,50.5,57.6,905.3,518.5,0,0.14,0,14.1,14.4,98.5,209,504,41.5,0,0,0,0,0.07,0,0,0,Matches
13,Jade Bailey,eng ENG,MF,Liverpool,23,1995,12.6,32.7,43.5,75.2,535.8,161.3,0.87,2.3,37.9,27.1,31.6,85.9,59,121,48.8,0,0.06,-0.06,1.03,1.98,0.32,0.08,3.89,Matches
14,Kirsty Barton,eng ENG,DF,Brighton,27,1992,10,32.9,45.2,72.8,591.7,303.5,0.5,1.8,27.8,26.1,33.6,77.7,63,98,64.3,0,0.03,-0.03,0.6,1.5,0.6,0.4,7.8,Matches
15,Molly Bartrip,eng ENG,DF,Reading,23,1996,2.7,32.2,42.2,76.3,750,330.4,0,0.37,0,20.4,21.9,93.2,32,54,59.3,0,0,0,0,2.59,0,0,2.59,Matches
