Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Sandy MacIver,eng ENG,GK,Everton,21,1998,3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
2,Vencislav Vasilev,eng ENG,GK,Tottenham,31,1988,1.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
3,Angela Addison,eng ENG,"FW,MF",Tottenham,19,1999,2.2,0.45,0,0,1.36,0.91,0,66.7,0.61,0.41,0.33,0.5,0.14,0.14,0.09,0.32,0.32,Matches
4,Flo Allen,eng ENG,"DF,MF",Bristol City,19,1999,3,0,0,0,0.33,0,0,0,0.11,0,0,,0.13,0.13,0.37,-0.13,-0.13,Matches
5,Remi Allen,eng ENG,MF,Reading,28,1990,12,0.25,0,0,1.58,0.75,0,47.4,0.13,0.06,0.16,0.33,0.27,0.27,0.17,-0.02,-0.02,Matches
6,Jonna Andersson,se SWE,DF,Chelsea,26,1993,14.1,0,0,0,0.78,0.14,0,18.2,0.06,0.01,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
7,Lizzie Arnot,sco SCO,FW,Manchester Utd,23,1996,0.9,0,0,0,1.11,0,0,0,1.18,0,0,,0.89,0.89,0.82,-0.89,-0.89,Matches
8,Chloe Arthur,sco SCO,MF,Birmingham City,24,1995,11.9,0,0,0,0.84,0.17,0,20,0.07,0.01,0,0,0.01,0.01,0.01,-0.01,-0.01,Matches
9,Rosella Ayane,eng ENG,"FW,MF",Tottenham,23,1996,6.4,0,0,0,3.44,0.78,0,22.7,0.54,0.12,0,0,0.34,0.34,0.1,-0.34,-0.34,Matches
10,Rinsola Babajide,eng ENG,"FW,MF",Liverpool,,,8.2,0.12,0,0,2.68,0.85,0,31.8,0.33,0.1,0.05,0.14,0.3,0.3,0.11,-0.18,-0.18,Matches
11,Ramona Bachmann,ch SUI,"FW,MF",Chelsea,28,1990,6.3,0.16,0,0,2.38,1.27,0,53.3,0.38,0.2,0.07,0.13,0.33,0.33,0.14,-0.17,-0.17,Matches
12,Sophie Baggaley,eng ENG,GK,Bristol City,22,1996,14,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
13,Jade Bailey,eng ENG,MF,Liverpool,23,1995,12.6,0,0,0,0.79,0.32,0.08,40,0.06,0.03,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
14,Kirsty Barton,eng ENG,DF,Brighton,27,1992,10,0,0,0,0.2,0,0,0,0.02,0,0,,0,0,0.02,0,0,Matches
15,Molly Bartrip,eng ENG,DF,Reading,23,1996,2.7,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
16,Katharina Baunach,de GER,DF,West Ham,30,1989,11.6,0.26,0,0,0.69,0.26,0.34,37.5,0.06,0.02,0.38,1,0.04,0.04,0.07,0.22,0.22,Matches
17,Jennifer Beattie,sco SCO,DF,Arsenal,28,1991,9.1,0,0,0,0.44,0,0,0,0.05,0,0,,0.02,0.02,0.06,-0.02,-0.02,Matches
